,sku,nombre_del_producto,marca,categoria,subcategoria,precio_de_lista,mas_bajo,mas_alto,precio_mercado
115,12514101,FANCY FEAST Kiss c/ Salmon At 30x40gLAT 40 gr,fancy feast,gato,snack,2990,1710,3290,2530
116,12514098,FANCY FEAST Kiss con Atun 30x40g LAT 40 gr,fancy feast,gato,snack,2990,1710,3290,2647
117,12514099,FANCY FEAST Kiss con Pollo 30x40g LAT 40 gr,fancy feast,gato,snack,2990,2250,3290,2744
118,12435252,FANCY FEAST Mousse Carne 8x85g US 85 gr,fancy feast,gato,,1350,792,7830,1875
119,12435243,FANCY FEAST Mousse Pez Camaron 8x85g Us 85 gr,fancy feast,gato,,1350,872,7830,2405
120,12435253,FANCY FEAST Petits Filets Atun 8x85g US 85 gr,fancy feast,gato,,1350,792,7830,3324
121,12435241,FANCY FEAST Petits Filets Salmon 8x85gUS 85 gr,fancy feast,gato,,1350,872,7830,2707
122,12435251,FANCY FEAST Tartare Atun 8x85g US 85 gr,fancy feast,gato,,1350,872,7830,2570
123,12435227,FANCY FEAST Tartare Trucha 8x85g US 85 gr,fancy feast,gato,,1350,872,7830,2510
124,12435228,FANCY FEAST Terrine Pavo 8x85g US 85 gr,fancy feast,gato,,1350,872,7830,3331
125,12435229,FANCY FEAST Terrine Pollo 8x85g US 85 gr,fancy feast,gato,,1350,792,7830,1839
126,12468794,ONE Perros Adt  y Cchr Multi Protein 100 gr,purina one,perro,,1250,1200,2030,1615
127,12468818,ONE Perros Adt Y Cchr Super Nutr 100 gr,purina one,perro,,1250,1200,2000,1600
128,12468787,ONE Perros Adt Y Cchr Superfoods 100 gr,purina one,perro,,1250,1200,2030,1615
129,12453123,PRO PLAN ACTIVE MIND Optiage Raza Pequeña 3kg,pro plan,perro,seco,29990,20590,34990,26940
130,12453305,"PRO PLAN ACTIVE MIND Optiage Raza Pequeña 7,5kg",pro plan,perro,seco,64490,47300,66990,53816
131,12458622,"PRO PLAN ADULT Cat LIVE CLEAR 1,0 kg",pro plan,gato,,16300,13510,15990,14305
132,12458608,"PRO PLAN ADULT Cat LIVE CLEAR 3,0kg",pro plan,gato,seco,41200,27990,40980,35461
133,12480086,PRO PLAN ADULT CAT POLLO Y ARROZ  24X85gr,pro plan,gato,húmedo,1850,590,2690,1729
134,12340774,PRO PLAN ADULT CAT Sterilized Pollo 85 gr,pro plan,gato,húmedo,1950,1000,2200,1676
135,12340775,PRO PLAN ADULT CAT Wet Pollo 85 gr,pro plan,gato,,1850,1133,2690,1785
136,12340773,PRO PLAN ADULT CAT Wet Salmón 85 gr,pro plan,gato,húmedo,1850,1133,2690,1872
137,12482113,PRO PLAN ADULT DOG POLLO Y ARROZ 12X370gr,pro plan,perro,húmedo,3490,2790,4690,3267
138,12341820,PRO PLAN Adulto Dog Carne en Salsa 100 gr,pro plan,perro,húmedo,1900,1133,2690,1928
139,12450605,"PRO PLAN Cat 7+ Optiage 3,0kg",pro plan,gato,seco,34100,26721,39990,30580
140,12450068,PRO PLAN Cat ADULT Optidigest 3kg,pro plan,gato,seco,30600,24201,37990,27304
141,12450081,"PRO PLAN Cat ADULT Optidigest 7,5kg",pro plan,gato,seco,61400,44175,63490,51493
142,12449850,"PRO PLAN Cat KITTEN Optistart 1,0kg",pro plan,gato,,12600,10521,16990,12390
143,12449837,"PRO PLAN Cat KITTEN Optistart 3,0 kg",pro plan,gato,seco,34100,26721,39990,30353
144,12448695,"PRO PLAN Cat KITTEN Optistart 7,5kg",pro plan,gato,seco,64900,47241,66990,55430
145,12450608,"PRO PLAN Cat REDUCED CALORIE Optifit 3,0kg",pro plan,gato,seco,34100,26721,39990,30434
146,12450589,"PRO PLAN Cat STERILIZED Optirenal 3,0kg",pro plan,gato,seco,34100,26990,39990,30415
147,12450610,"PRO PLAN Cat STERILIZED Optirenal 7,5kg",pro plan,gato,seco,64900,46875,67490,54746
148,12450587,"PRO PLAN Cat URINARY Optitract  1,0kg",pro plan,gato,seco,12600,10570,16990,12691
149,12450606,PRO PLAN Cat URINARY Optitract  3 kg,pro plan,gato,seco,34100,26721,39990,29635
150,12450588,"PRO PLAN Cat URINARY Optitract  7,5kg",pro plan,gato,seco,64900,47241,67490,55644
151,12453318,PRO PLAN Dog Adult EXIGENT Optienrich  Raza Pequeña 3kg,pro plan,perro,seco,29990,23900,34990,27920
152,12453683,PRO PLAN Dog Adult EXIGENT Optienrich  Raza Pequeña 7.5kg,pro plan,perro,,62990,39690,70900,56526
153,12453296,PRO PLAN Dog Adult Optihealth Raza Mediana 15kg,pro plan,perro,seco,86990,62400,89990,69259
154,12453122,PRO PLAN Dog Adult Optihealth Raza Mediana 3kg,pro plan,perro,,26700,16990,28990,22876
155,12452939,PRO PLAN Dog Adult Optihealth Raza Pequeña 3kg,pro plan,perro,seco,27700,22780,33990,26067
156,12453303,"PRO PLAN Dog Adult Optihealth Raza Pequeña 7,5kg",pro plan,perro,seco,58490,42884,59990,49281
157,12453288,PRO PLAN Dog Puppy Optistart Raza Mediana  15kg,pro plan,perro,seco,89990,55168,92990,73444
158,12452915,PRO PLAN Dog Puppy Optistart Raza Mediana  3kg,pro plan,perro,seco,27700,23550,33990,26545
159,12452753,PRO PLAN Dog Puppy Optistart Raza Pequeña 1kg,pro plan,perro,,10990,8990,14990,10886
160,12453113,PRO PLAN Dog Puppy Optistart Raza Pequeña 3kg,pro plan,perro,seco,29990,23900,34990,27373
161,12453105,PRO PLAN Dog Puppy Optistart Raza Pequeña 7.5kg,pro plan,perro,seco,62990,43900,64990,51473
162,12476239,PRO PLAN Dog SENSITIVE SKIN & STOMACH Optidual Raza M/G 3kg,pro plan,perro,,91990,69990,91990,80046
163,12476116,PRO PLAN Dog SENSITIVE SKIN & STOMACH Optidual Raza Pequeña 3 kg,pro plan,perro,,29990,23990,34990,27686
164,12476228,PRO PLAN Dog SENSITIVE SKIN & STOMACH Optidual Raza Pequeña 3 kg,pro plan,perro,,59990,46990,66990,54236
165,12453348,PRO PLAN Dog SENSITIVE SKIN Cordero Adulto 3kg,pro plan,perro,,29990,18780,34990,26235
166,12453349,PRO PLAN Dog SENSITIVE SKIN Cordero Adulto 3kg,pro plan,perro,,93990,53900,92490,74406
167,12453319,PRO PLAN Dog SENSITIVE SKIN Cordero Cachorro 3 kg,pro plan,perro,,31000,25990,37990,29463
168,12467697,PRO PLAN Dog SENSITIVE SKIN Cordero Cachorro 3 kg,pro plan,perro,,97990,66400,86980,79561
169,12453313,PRO PLAN Dog SENSITIVE SKIN Salmón Optiderma Raza Pequeña  3 kg,pro plan,perro,,29990,20890,34990,26961
170,12480330,PRO PLAN KITTEN POLLO E HIGADO 24X85gr,pro plan,gato,húmedo,1850,1290,2690,1843
171,12341824,PRO PLAN Kitten Wet Pollo 85 gr,pro plan,gato,húmedo,1950,1133,2690,1908
172,12482280,PRO PLAN PUPPY POLLO Y ARROZ 12X370gr,pro plan,perro,húmedo,3990,2700,4690,3498
173,12482108,PRO PLAN SENSITIVE DOG SALMON Y ARROZ 12X370gr,pro plan,perro,,3990,2990,3910,3521
174,12480321,PRO PLAN URINARY CAT CARNE Y POLLO 24X85gr,pro plan,gato,húmedo,1850,1490,2200,1809
175,12476108,"PROPLAN CatAdt Sensitive Stomach 3,0kg",pro plan,gato,,34100,26350,28990,28052
